generator_model,oracle_model,scheme,method,samples,mean_ppl,std_ppl,median_ppl,min_ppl,max_ppl,q1_ppl,q3_ppl
OPT-1.3B,OPT-13B,vanilla,Unwatermarked,495,6.780265018485303,3.0138869154377335,6.295607788696066,1.5626839359688662,29.261395925621095,5.2144115904564545,7.646026875450179
OPT-1.3B,OPT-13B,kgw,KGW,495,8.107531872407803,3.321380370950385,7.791014828626958,1.9098187827810513,28.919132018149455,6.052988219229384,9.5350331182069
OPT-1.3B,OPT-13B,dip,DIP,495,7.993009282067975,3.1438451723525684,7.3802265120111326,1.7858752110673526,25.65313691781016,6.275480106488308,9.137244412616731
OPT-1.3B,OPT-13B,ewd,EWD,496,8.277956254739948,3.379937831379098,7.894407655458908,2.179056100976449,27.95276440088503,6.254716456376757,9.634164366476538
OPT-1.3B,OPT-13B,morphmark,MorphMark,498,6.681812485234964,3.035218131278142,6.270162869568139,1.5424437315680328,28.6118384032146,5.0705649904448595,7.674096864520807
OPT-1.3B,OPT-13B,sweet,SWEET,496,8.16239093638612,3.1371436104503285,7.888381249615364,1.5424437315680328,26.852668973275225,6.172038855276625,9.777999578944913
OPT-1.3B,OPT-13B,unbiased,Unbiased,490,7.935208442307532,3.1412859033827303,7.448613528022417,1.9314216769908112,27.37317169095367,6.163943764930398,8.883070918933871
OPT-1.3B,OPT-13B,synthid,SynthID,496,6.937393765911624,2.7169176755346225,6.462830681466624,2.05188511868851,26.143892536295528,5.384400079595876,7.99670844958247
OPT-1.3B,OPT-13B,dbsf,DBSF,498,6.727155254836599,3.2653611003611203,6.418418963887847,1.8155289110285806,29.040625701848878,4.307671183641327,8.208110576348105
OPT-2.7B,OPT-13B,vanilla,Unwatermarked,497,6.385806507204874,2.8445240618951306,5.906604849737779,1.6180796325853188,28.686967579096454,4.915595123583702,7.099451744012416
OPT-2.7B,OPT-13B,kgw,KGW,497,7.662685122726889,3.0166062046822337,7.2433440762099,1.8515944706884546,27.566381945868486,5.850207367209197,8.947966297714618
OPT-2.7B,OPT-13B,dip,DIP,495,7.458122194473119,3.1946164544443527,7.115666269440402,1.7626593471134995,29.724598222316203,5.633128897752009,8.4382039033434
OPT-2.7B,OPT-13B,ewd,EWD,496,7.766480793039448,3.362685908274151,7.333753470625768,1.8033211846028756,28.95306081918119,6.008823244156838,8.870766265720661
OPT-2.7B,OPT-13B,morphmark,MorphMark,497,6.095367647700687,2.284708976027289,5.782452247699573,1.6552942520944633,25.99983671071521,4.704108538849982,7.073169785457332
OPT-2.7B,OPT-13B,sweet,SWEET,496,7.83338642294005,3.603108707644472,7.243024158216417,1.8450736670145298,29.753370764712027,5.712096913749181,9.144580951518162
OPT-2.7B,OPT-13B,unbiased,Unbiased,494,7.37914453807632,3.134683609219501,6.805987305239488,1.8008600315912375,29.12509434115808,5.653467613951107,8.306145286144911
OPT-2.7B,OPT-13B,synthid,SynthID,491,6.44636220128509,3.3686738958255513,5.888768255895447,1.6219580374075895,29.294657649768556,4.930994188886601,7.15530599118455
OPT-2.7B,OPT-13B,dbsf,DBSF,499,6.5505462145404305,2.797075167295662,6.239658570573664,1.7602802337145333,19.472731873056098,4.548087293209451,8.206937825900305
OPT-6.7B,OPT-13B,vanilla,Unwatermarked,498,6.1322406296410605,2.6459478550266207,5.622493395615162,1.6193178820564114,24.79684054208451,4.737747533000423,6.912331147965562
OPT-6.7B,OPT-13B,kgw,KGW,496,7.393556415430653,2.9571029382125684,6.969912144958634,1.7134824949799927,27.971831251710476,5.651615599237324,8.552633612581252
OPT-6.7B,OPT-13B,dip,DIP,492,7.189794956771382,3.568100409646491,6.517507190769189,1.53200622449789,28.9285243401256,5.157552637761846,7.953602008808912
OPT-6.7B,OPT-13B,ewd,EWD,497,7.490337446708391,3.0178618591457855,7.128618150070353,1.5218573519279228,26.115696335414288,5.631657516275972,8.747948266730376
OPT-6.7B,OPT-13B,morphmark,MorphMark,499,6.046986372625293,2.7102941386092834,5.556981076020479,1.5062122002908622,27.530645041509825,4.52981861429253,6.8642791393002565
OPT-6.7B,OPT-13B,sweet,SWEET,498,7.3576554435264185,3.234566229066961,6.922243096251568,1.4501859552406577,27.719348747387592,5.471641719562987,8.478992969813753
OPT-6.7B,OPT-13B,unbiased,Unbiased,493,6.932243826223402,3.1462756213160437,6.342390995592795,1.550521138523909,28.652646965920937,5.1482334477612754,7.846678360225303
OPT-6.7B,OPT-13B,synthid,SynthID,496,6.0613884230546295,2.37442759427547,5.739482271906403,1.4890414080806504,26.332707460359774,4.68931613761539,6.8818887556985775
OPT-6.7B,OPT-13B,dbsf,DBSF,499,6.369813908146574,2.698767100188522,6.048135783770014,1.5247447488714796,24.143973981132095,4.562640745312477,7.722203369016254
