scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,500,0,0.3846,1.2569,-3.7244,3.8062,0.00
vanilla_sweet,sweet,vanilla,0,500,500,0,0.2627,1.1281,-3.0308,3.0000,0.00
vanilla_ewd,ewd,vanilla,0,500,500,0,0.3429,1.1341,-2.8422,3.1256,0.00
vanilla_dip,dip,vanilla,0,500,500,0,-0.0206,0.4360,-1.6263,1.2843,0.00
vanilla_unbiased,unbiased,vanilla,0,500,500,0,-0.0685,0.4099,-1.4569,1.3435,0.00
vanilla_synthid,synthid,vanilla,0,500,500,0,0.5003,0.0069,0.4816,0.5246,0.40
vanilla_morphmark,morphmark,vanilla,0,500,500,0,0.3846,1.2569,-3.7244,3.8062,11.00
vanilla_dbsf,dbsf,vanilla,0,500,500,0,0.2580,0.9413,-2.5488,3.2916,0.00
kgw,kgw,kgw,1,500,500,0,5.1759,1.9663,-0.4502,15.7570,70.40
sweet,sweet,sweet,1,500,500,0,5.5748,2.1431,-0.5774,11.8895,76.80
ewd,ewd,ewd,1,500,500,0,6.5453,2.0705,0.5399,12.0524,88.80
dip,dip,dip,1,500,500,0,0.9242,0.4538,-0.3722,2.1920,9.20
unbiased,unbiased,unbiased,1,500,500,0,0.9060,0.4622,-0.9192,2.5456,8.60
synthid,synthid,synthid,1,500,500,0,0.5230,0.0094,0.4969,0.5507,61.00
morphmark,morphmark,morphmark,1,500,500,0,2.4905,1.5055,-1.7233,7.2441,66.40
dbsf,dbsf,dbsf,1,500,500,0,10.2523,3.1523,-0.1084,18.3240,96.80
