scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,500,0,-0.3788,1.1923,-4.5566,3.2831,0.00
vanilla_sweet,sweet,vanilla,0,500,500,0,0.1519,1.1350,-3.5446,4.4234,0.20
vanilla_ewd,ewd,vanilla,0,500,500,0,0.1161,1.1240,-3.5902,5.3659,0.20
vanilla_dip,dip,vanilla,0,500,500,0,-0.0891,0.4467,-1.6813,1.2367,0.00
vanilla_unbiased,unbiased,vanilla,0,500,500,0,-0.0507,0.4383,-1.7693,1.0957,0.00
vanilla_synthid,synthid,vanilla,0,500,500,0,0.5003,0.0079,0.4500,0.5254,0.60
vanilla_morphmark,morphmark,vanilla,0,500,500,0,-0.3788,1.1923,-4.5566,3.2831,2.00
vanilla_dbsf,dbsf,vanilla,0,500,500,0,-0.2697,1.0120,-3.9050,2.7721,0.00
kgw,kgw,kgw,1,500,500,0,1.6276,1.6069,-2.1398,8.1229,7.20
sweet,sweet,sweet,1,500,500,0,2.0656,1.4562,-1.5275,7.7192,10.00
ewd,ewd,ewd,1,500,500,0,2.1877,1.4524,-1.8813,6.8611,10.60
dip,dip,dip,1,500,500,0,0.0437,0.4277,-1.2228,1.1669,0.00
unbiased,unbiased,unbiased,1,500,500,0,0.0103,0.4269,-1.4597,1.0748,0.00
synthid,synthid,synthid,1,500,500,0,0.5037,0.0075,0.4839,0.5364,1.40
morphmark,morphmark,morphmark,1,500,500,0,0.7494,1.4143,-3.0923,6.6365,16.20
dbsf,dbsf,dbsf,1,500,500,0,2.3531,1.7757,-1.8468,8.2325,16.80
