scenario,method,tpr_at_5fpr,f1_at_5fpr,auroc
No Attack,KGW,0.99,0.9686888454011742,0.995638
No Attack,SWEET,0.99,0.9705882352941176,0.997018
No Attack,MorphMark,0.868,0.9032258064516129,0.9674940000000001
No Attack,EWD,0.99,0.9705882352941176,0.9984000000000001
No Attack,DIP,0.95,0.9500000000000001,0.987014
No Attack,Unbiased,0.952,0.9491525423728813,0.988592
No Attack,SynthID,0.986,0.9685658153241651,0.9972920000000001
No Attack,DBSF,0.994,0.9726027397260274,0.999548
Translation,KGW,,,0.9662999999999999
Translation,SWEET,,,0.985496
Translation,MorphMark,,,0.8766520000000001
Translation,EWD,,,0.984304
Translation,DIP,,,0.79601
Translation,Unbiased,,,0.799734
Translation,SynthID,,,0.91654
Translation,DBSF,,,0.9878859999999999
Dipper-1,KGW,,,0.877902
Dipper-1,SWEET,,,0.8915199999999999
Dipper-1,MorphMark,,,0.7599919999999999
Dipper-1,EWD,,,0.9074599999999999
Dipper-1,DIP,,,0.58189
Dipper-1,Unbiased,,,0.616296
Dipper-1,SynthID,,,0.666932
Dipper-1,DBSF,,,0.953332
Dipper-2,KGW,,,0.851488
Dipper-2,SWEET,,,0.8510500000000001
Dipper-2,MorphMark,,,0.732578
Dipper-2,EWD,,,0.871448
Dipper-2,DIP,,,0.590148
Dipper-2,Unbiased,,,0.5331
Dipper-2,SynthID,,,0.622884
Dipper-2,DBSF,,,0.902476
Pegasus,KGW,,,0.9295596
Pegasus,SWEET,,,0.9602744
Pegasus,MorphMark,,,0.8067977599999999
Pegasus,EWD,,,0.9644697600000001
Pegasus,DIP,,,0.67983872
Pegasus,Unbiased,,,0.69059488
Pegasus,SynthID,,,0.8248962400000001
Pegasus,DBSF,,,0.9795568
