scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,500,500,0,-0.0448,1.0844,-2.9593,4.0038,0.20
vanilla_sweet,sweet,vanilla,0,500,500,0,0.0985,1.0694,-3.0071,3.1760,0.00
vanilla_ewd,ewd,vanilla,0,500,500,0,0.0689,1.0418,-2.9092,3.2663,0.00
vanilla_dip,dip,vanilla,0,500,500,0,-0.0590,0.4385,-1.3000,1.1000,0.00
vanilla_unbiased,unbiased,vanilla,0,500,500,0,-0.0777,0.4392,-1.2687,0.9000,0.00
vanilla_synthid,synthid,vanilla,0,500,500,0,0.4998,0.0096,0.4660,0.5295,1.20
vanilla_morphmark,morphmark,vanilla,0,500,500,0,-0.0448,1.0844,-2.9593,4.0038,2.80
vanilla_dbsf,dbsf,vanilla,0,500,500,0,0.3739,1.0132,-2.0137,3.9657,0.00
kgw,kgw,kgw,1,500,500,0,5.8794,1.8161,-1.5667,14.4484,87.40
sweet,sweet,sweet,1,500,500,0,6.0951,1.7906,-1.4757,10.8350,88.20
ewd,ewd,ewd,1,500,500,0,6.4189,1.8366,0.6680,11.0795,89.60
dip,dip,dip,1,500,500,0,1.1062,0.4071,-0.3000,2.0000,13.40
unbiased,unbiased,unbiased,1,500,500,0,1.1177,0.4151,-0.4271,2.1000,15.00
synthid,synthid,synthid,1,500,500,0,0.5463,0.0150,0.4979,0.5868,94.60
morphmark,morphmark,morphmark,1,500,500,0,2.9420,1.5170,-1.3856,9.3422,73.20
dbsf,dbsf,dbsf,1,500,500,0,9.7750,2.2087,1.3739,16.0478,98.20
