Token,Method,Detector_Scheme,AUROC,AUC_percent,N_pos,N_neg,N_total
50,KGW,kgw,0.9872799999999999,98.728,500,500,1000
50,SWEET,sweet,0.982702,98.2702,500,500,1000
50,MorphMark,morphmark,0.909146,90.91460000000001,500,500,1000
50,EWD,ewd,0.986,98.6,500,500,1000
50,DIP,dip,0.9422659999999999,94.22659999999999,500,500,1000
50,Unbiased,unbiased,0.9176040000000001,91.7604,500,500,1000
50,SynthID,synthid,0.9821860000000001,98.21860000000001,500,500,1000
50,DBSF,dbsf,0.9930040000000001,99.30040000000001,500,500,1000
100,KGW,kgw,0.9938560000000001,99.38560000000001,500,500,1000
100,SWEET,sweet,0.9915259999999999,99.15259999999999,500,500,1000
100,MorphMark,morphmark,0.946282,94.62819999999999,500,500,1000
100,EWD,ewd,0.996428,99.6428,500,500,1000
100,DIP,dip,0.971848,97.18480000000001,500,500,1000
100,Unbiased,unbiased,0.97327,97.327,500,500,1000
100,SynthID,synthid,0.991854,99.1854,500,500,1000
100,DBSF,dbsf,0.999212,99.9212,500,500,1000
150,KGW,kgw,0.9929019999999998,99.29019999999998,500,500,1000
150,SWEET,sweet,0.9954019999999999,99.54019999999998,500,500,1000
150,MorphMark,morphmark,0.9664619999999999,96.6462,500,500,1000
150,EWD,ewd,0.99922,99.922,500,500,1000
150,DIP,dip,0.9860180000000001,98.60180000000001,500,500,1000
150,Unbiased,unbiased,0.9844579999999999,98.44579999999999,500,500,1000
150,SynthID,synthid,0.9964500000000001,99.64500000000001,500,500,1000
150,DBSF,dbsf,0.998228,99.8228,500,500,1000
200,KGW,kgw,0.995638,99.5638,500,500,1000
200,SWEET,sweet,0.997018,99.70179999999999,500,500,1000
200,MorphMark,morphmark,0.9674940000000001,96.74940000000001,500,500,1000
200,EWD,ewd,0.9984000000000001,99.84,500,500,1000
200,DIP,dip,0.987014,98.70139999999999,500,500,1000
200,Unbiased,unbiased,0.988592,98.8592,500,500,1000
200,SynthID,synthid,0.9972920000000001,99.7292,500,500,1000
200,DBSF,dbsf,0.999548,99.9548,500,500,1000
250,KGW,kgw,0.998248,99.8248,500,500,1000
250,SWEET,sweet,0.9985559999999999,99.8556,500,500,1000
250,MorphMark,morphmark,0.96967,96.967,500,500,1000
250,EWD,ewd,0.9984679999999999,99.84679999999999,500,500,1000
250,DIP,dip,0.985842,98.5842,500,500,1000
250,Unbiased,unbiased,0.985554,98.5554,500,500,1000
250,SynthID,synthid,0.995906,99.5906,500,500,1000
250,DBSF,dbsf,0.999276,99.92760000000001,500,500,1000
300,KGW,kgw,0.9973479999999999,99.73479999999999,500,500,1000
300,SWEET,sweet,0.9963820000000001,99.63820000000001,500,500,1000
300,MorphMark,morphmark,0.9755600000000001,97.55600000000001,500,500,1000
300,EWD,ewd,0.9990160000000001,99.90160000000002,500,500,1000
300,DIP,dip,0.9938279999999999,99.38279999999999,500,500,1000
300,Unbiased,unbiased,0.9932500000000001,99.325,500,500,1000
300,SynthID,synthid,0.9981259999999998,99.81259999999999,500,500,1000
300,DBSF,dbsf,0.999492,99.9492,500,500,1000
