scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,498,498,0,0.7549,3.6782,-4.8795,28.3779,3.01
vanilla_sweet,sweet,vanilla,0,498,498,0,0.4515,1.3116,-2.9593,10.2976,1.61
vanilla_ewd,ewd,vanilla,0,498,498,0,0.4702,1.3866,-2.5868,11.5220,2.01
vanilla_dip,dip,vanilla,0,498,498,0,-0.0743,0.4059,-1.4434,1.0904,0.00
vanilla_unbiased,unbiased,vanilla,0,498,498,0,-0.0948,0.4082,-1.1747,1.0074,0.00
vanilla_synthid,synthid,vanilla,0,498,496,2,0.5005,0.0097,0.4667,0.5800,2.01
vanilla_morphmark,morphmark,vanilla,0,498,498,0,0.7549,3.6782,-4.8795,28.3779,11.04
vanilla_dbsf,dbsf,vanilla,0,498,498,0,0.7809,1.1681,-2.4678,4.3657,0.40
kgw,kgw,kgw,1,499,499,0,6.2060,3.0610,-6.5857,27.9945,83.37
sweet,sweet,sweet,1,499,499,0,5.9454,2.1786,-2.4959,11.5613,85.57
ewd,ewd,ewd,1,499,499,0,6.0844,2.3304,-1.3960,12.0896,84.17
dip,dip,dip,1,497,497,0,0.4526,0.4829,-1.1580,1.7143,0.60
unbiased,unbiased,unbiased,1,497,497,0,0.4755,0.4629,-1.4289,1.9225,1.01
synthid,synthid,synthid,1,497,495,2,0.5213,0.0133,0.4667,0.5854,54.53
morphmark,morphmark,morphmark,1,499,499,0,3.5781,3.3539,-9.6264,27.3007,75.55
dbsf,dbsf,dbsf,1,499,499,0,8.1350,3.1957,-1.8531,15.8762,89.38
