scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,2490,2490,0,0.6658,2.4248,-9.7478,20.1095,3.41
vanilla_sweet,sweet,vanilla,0,2490,2490,0,0.4343,1.1003,-3.5280,4.7037,0.40
vanilla_ewd,ewd,vanilla,0,2490,2490,0,0.4376,1.0727,-3.4487,3.9759,0.00
vanilla_dip,dip,vanilla,0,2490,2490,0,-0.0706,0.4371,-1.6138,1.2985,0.00
vanilla_unbiased,unbiased,vanilla,0,2490,2490,0,-0.0875,0.4400,-1.4483,1.2201,0.00
vanilla_synthid,synthid,vanilla,0,2490,2485,5,0.5004,0.0106,0.4167,0.5762,2.25
vanilla_morphmark,morphmark,vanilla,0,2490,2490,0,0.6658,2.4248,-9.7478,20.1095,10.84
vanilla_dbsf,dbsf,vanilla,0,2490,2490,0,0.8849,1.1047,-2.7618,5.0389,0.40
kgw,kgw,kgw,1,2495,2495,0,5.0390,2.7642,-6.3853,24.7284,67.21
sweet,sweet,sweet,1,2495,2495,0,4.7635,2.0496,-2.0137,10.7143,67.33
ewd,ewd,ewd,1,2495,2495,0,4.8287,2.1469,-2.0506,11.0263,68.78
dip,dip,dip,1,2485,2485,0,0.2792,0.4767,-1.9500,1.8974,0.36
unbiased,unbiased,unbiased,1,2485,2485,0,0.2679,0.4732,-1.4434,1.7555,0.44
synthid,synthid,synthid,1,2485,2479,6,0.5162,0.0127,0.4562,0.5833,35.21
morphmark,morphmark,morphmark,1,2495,2495,0,2.7069,2.4015,-12.3567,24.2872,62.97
dbsf,dbsf,dbsf,1,2495,2495,0,6.7679,2.8431,-2.5811,16.5717,84.01
