scheme,detector_scheme,source_scheme,label,n,valid_scores,errors,mean_z,std_z,min_z,max_z,percent_flagged
vanilla_kgw,kgw,vanilla,0,498,498,0,0.0697,1.1356,-4.4091,3.3265,0.00
vanilla_sweet,sweet,vanilla,0,498,498,0,0.0128,1.0886,-3.6382,2.9719,0.00
vanilla_ewd,ewd,vanilla,0,498,497,0,-0.0160,1.0641,-3.4332,2.8561,0.00
vanilla_dip,dip,vanilla,0,498,498,0,-0.0585,0.4907,-1.4600,1.4241,0.00
vanilla_unbiased,unbiased,vanilla,0,498,498,0,-0.0190,0.5164,-1.5920,1.4991,0.00
vanilla_synthid,synthid,vanilla,0,498,496,2,0.5009,0.0098,0.4167,0.5467,2.21
vanilla_morphmark,morphmark,vanilla,0,498,498,0,0.0948,1.1355,-2.9227,3.6680,6.02
vanilla_dbsf,dbsf,vanilla,0,498,498,0,0.4972,1.0935,-3.1754,4.3121,0.20
kgw,kgw,kgw,1,499,499,0,3.2364,1.5036,-1.0000,8.4218,29.26
sweet,sweet,sweet,1,499,499,0,3.0754,1.4814,-2.7940,7.3673,26.65
ewd,ewd,ewd,1,499,499,0,3.1548,1.3665,-1.0000,6.6105,27.66
dip,dip,dip,1,497,497,0,0.5024,0.5603,-1.0324,2.0059,4.23
unbiased,unbiased,unbiased,1,497,497,0,0.5386,0.5413,-1.2964,2.0756,3.42
synthid,synthid,synthid,1,497,495,2,0.5170,0.0104,0.4567,0.5667,39.24
morphmark,morphmark,morphmark,1,499,499,0,2.8721,1.7104,-1.5275,9.3995,71.34
dbsf,dbsf,dbsf,1,499,499,0,7.5406,2.5522,-1.1815,12.8992,91.38
