scenario,method,tpr_at_5fpr,f1_at_5fpr,auroc
No Attack,KGW,0.9739478957915831,0.9614243323442138,0.9947284126485904
No Attack,SWEET,0.9859719438877755,0.9685039370078741,0.9958793088184401
No Attack,MorphMark,0.8957915831663327,0.9197530864197531,0.9673966406709
No Attack,EWD,0.9819639278557114,0.9664694280078896,0.9946936125772672
No Attack,DIP,0.932,0.9404641775983854,0.9736400000000001
No Attack,Unbiased,0.9275653923541247,0.9379450661241098,0.9674209918143398
No Attack,SynthID,0.9919191919191919,0.9713155291790307,0.9947438090583252
No Attack,DBSF,0.9939879759519038,0.9725490196078432,0.997452736798899
Translation,KGW,,,0.9512337928869787
Translation,SWEET,,,0.9729076627149882
Translation,MorphMark,,,0.8869908491682159
Translation,EWD,,,0.9672638449589942
Translation,DIP,,,0.7973645083351515
Translation,Unbiased,,,0.8283940591339201
Translation,SynthID,,,0.9156382372108178
Translation,DBSF,,,0.9788492647946495
Dipper-1,KGW,,,0.8943107097729595
Dipper-1,SWEET,,,0.8960028490716373
Dipper-1,MorphMark,,,0.774787906646667
Dipper-1,EWD,,,0.9077029561130292
Dipper-1,DIP,,,0.5563279274037801
Dipper-1,Unbiased,,,0.5932502646400492
Dipper-1,SynthID,,,0.6351049358725224
Dipper-1,DBSF,,,0.935384825876653
Dipper-2,KGW,,,0.8668763229269785
Dipper-2,SWEET,,,0.8777479395493621
Dipper-2,MorphMark,,,0.7430161527875028
Dipper-2,EWD,,,0.8924274251313873
Dipper-2,DIP,,,0.5595015878402948
Dipper-2,Unbiased,,,0.5286235485200359
Dipper-2,SynthID,,,0.6229838709677419
Dipper-2,DBSF,,,0.9223386532100346
Pegasus,KGW,,,0.9305205591906704
Pegasus,SWEET,,,0.9620968845321165
Pegasus,MorphMark,,,0.8348763390234284
Pegasus,EWD,,,0.9539994044313526
Pegasus,DIP,,,0.7086323563873199
Pegasus,Unbiased,,,0.7088549772530767
Pegasus,SynthID,,,0.8511413783223748
Pegasus,DBSF,,,0.9741453992321993
