scenario,method,neg_scheme,n_pos,n_neg,tpr,f1,auroc,tp,fp,fn,tn,tau
Rephrase (Dipper-1),KGW,vanilla_kgw,499,498,,,0.8943107097729595,311,25,188,473,2.214337774759526
Rephrase (Dipper-1),SWEET,vanilla_sweet,499,498,,,0.8960028490716373,343,25,156,473,1.8638001104725297
Rephrase (Dipper-1),MorphMark,vanilla_morphmark,498,498,,,0.774787906646667,173,25,325,473,2.214337774759526
Rephrase (Dipper-1),EWD,vanilla_ewd,499,498,,,0.9077029561130292,358,25,141,473,1.8772188186645502
Rephrase (Dipper-1),DIP,vanilla_dip,497,498,,,0.5563279274037801,45,25,452,473,0.5942121833562849
Rephrase (Dipper-1),Unbiased,vanilla_unbiased,497,498,,,0.5932502646400492,47,25,450,473,0.6240609169006346
Rephrase (Dipper-1),SynthID,vanilla_synthid,496,498,,,0.6351049358725224,83,25,413,473,0.5149470304319371
Rephrase (Dipper-1),DBSF,vanilla_dbsf,499,498,,,0.935384825876653,387,25,112,473,2.640035739844506
Rephrase (Dipper-2),KGW,vanilla_kgw,499,498,,,0.8668763229269785,288,25,211,473,2.068558133028851
Rephrase (Dipper-2),SWEET,vanilla_sweet,498,498,,,0.8777479395493621,279,25,219,473,2.1497799891105407
Rephrase (Dipper-2),MorphMark,vanilla_morphmark,499,498,,,0.7430161527875028,158,25,341,473,2.068558133028851
Rephrase (Dipper-2),EWD,vanilla_ewd,499,498,,,0.8924274251313873,290,25,209,473,2.1245364069938644
Rephrase (Dipper-2),DIP,vanilla_dip,497,498,,,0.5595015878402948,42,25,455,473,0.6313174009323117
Rephrase (Dipper-2),Unbiased,vanilla_unbiased,497,498,,,0.5286235485200359,23,25,474,473,0.6657670974731439
Rephrase (Dipper-2),SynthID,vanilla_synthid,496,498,,,0.6229838709677419,71,25,425,473,0.5131891280273484
Rephrase (Dipper-2),DBSF,vanilla_dbsf,499,498,,,0.9223386532100346,377,25,122,473,2.4789235073376643
Rephrase (Pegasus),KGW,vanilla_kgw,2495,2490,,,0.9305205591906704,2056,125,439,2365,2.8740525351541426
Rephrase (Pegasus),SWEET,vanilla_sweet,2495,2490,,,0.9620968845321165,2187,126,308,2364,2.216205005375256
Rephrase (Pegasus),MorphMark,vanilla_morphmark,2495,2490,,,0.8348763390234284,1056,125,1439,2365,2.8740525351541426
Rephrase (Pegasus),EWD,vanilla_ewd,2495,2490,,,0.9539994044313526,2176,125,319,2365,2.1964190006256086
Rephrase (Pegasus),DIP,vanilla_dip,2485,2490,,,0.7086323563873199,550,125,1935,2365,0.6494119673967357
Rephrase (Pegasus),Unbiased,vanilla_unbiased,2485,2490,,,0.7088549772530767,556,126,1929,2364,0.628618597984314
Rephrase (Pegasus),SynthID,vanilla_synthid,2479,2485,,,0.8511413783223748,1270,125,1209,2360,0.5153626885725462
Rephrase (Pegasus),DBSF,vanilla_dbsf,2495,2490,,,0.9741453992321993,2306,125,189,2365,2.735705385505981
