Token,Method,Detector_Scheme,AUROC,AUC_percent,N_pos,N_neg,N_total
50,KGW,kgw,0.9901892137689032,99.01892137689032,498,499,997
50,SWEET,sweet,0.9897389970321404,98.97389970321404,499,499,998
50,MorphMark,morphmark,0.9146529532009913,91.46529532009913,499,499,998
50,EWD,ewd,0.9939316383771559,99.39316383771559,499,498,997
50,DIP,dip,0.936374,93.6374,500,500,1000
50,Unbiased,unbiased,0.942120714374641,94.21207143746409,499,499,998
50,SynthID,synthid,0.9914641014757737,99.14641014757737,494,496,990
50,DBSF,dbsf,0.995066284874358,99.5066284874358,499,499,998
100,KGW,kgw,0.9949839558877273,99.49839558877272,499,499,998
100,SWEET,sweet,0.9950463175346678,99.50463175346678,498,499,997
100,MorphMark,morphmark,0.9537652459227072,95.37652459227071,499,499,998
100,EWD,ewd,0.9955766664112935,99.55766664112934,497,499,996
100,DIP,dip,0.955776,95.57759999999999,500,500,1000
100,Unbiased,unbiased,0.9739679760322248,97.39679760322248,499,499,998
100,SynthID,synthid,0.9864508335151472,98.64508335151471,498,497,995
100,DBSF,dbsf,0.9959960000160641,99.59960000160642,499,499,998
150,KGW,kgw,0.9962440121933516,99.62440121933516,498,498,996
150,SWEET,sweet,0.9957420041612232,99.57420041612231,498,498,996
150,MorphMark,morphmark,0.9610908564116184,96.10908564116184,499,498,997
150,EWD,ewd,0.9948048707857482,99.48048707857482,499,498,997
150,DIP,dip,0.9701719999999999,97.01719999999999,500,500,1000
150,Unbiased,unbiased,0.9807903646780279,98.0790364678028,497,498,995
150,SynthID,synthid,0.9927762178398851,99.27762178398851,494,496,990
150,DBSF,dbsf,0.9968088788017803,99.68088788017802,499,498,997
200,KGW,kgw,0.9947284126485904,99.47284126485904,499,498,997
200,SWEET,sweet,0.9958793088184401,99.58793088184402,499,498,997
200,MorphMark,morphmark,0.9673946286146589,96.73946286146588,499,498,997
200,EWD,ewd,0.9946936125772672,99.46936125772672,499,497,996
200,DIP,dip,0.9736400000000001,97.364,500,500,1000
200,Unbiased,unbiased,0.9674209918143398,96.74209918143399,497,498,995
200,SynthID,synthid,0.9947438090583252,99.47438090583252,495,496,991
200,DBSF,dbsf,0.997452736798899,99.7452736798899,499,498,997
250,KGW,kgw,0.9945020301123288,99.45020301123289,499,499,998
250,SWEET,sweet,0.9954377693262277,99.54377693262278,499,499,998
250,MorphMark,morphmark,0.9726044831598681,97.26044831598682,496,499,995
250,EWD,ewd,0.9961250624989919,99.61250624989918,498,498,996
250,DIP,dip,0.965456,96.5456,500,500,1000
250,Unbiased,unbiased,0.9674278133732251,96.74278133732251,497,499,996
250,SynthID,synthid,0.9914680782463545,99.14680782463546,493,497,990
250,DBSF,dbsf,0.9946586559893333,99.46586559893333,499,499,998
300,KGW,kgw,0.9914466719998708,99.14466719998708,497,498,995
300,SWEET,sweet,0.9965040886437315,99.65040886437315,498,498,996
300,MorphMark,morphmark,0.9700952403993485,97.00952403993485,498,498,996
300,EWD,ewd,0.995086987790195,99.5086987790195,498,497,995
300,DIP,dip,0.97281,97.28099999999999,500,500,1000
300,Unbiased,unbiased,0.9687748991959824,96.87748991959823,498,499,997
300,SynthID,synthid,0.994692907178228,99.4692907178228,494,493,987
300,DBSF,dbsf,0.996422564003509,99.6422564003509,499,498,997
